Date : 2025-11-24 11:58:06
Directory : d:\Aldhaf\hr_odoo
Total : 195 files,  14941 codes, 987 comments, 1679 blanks, all 17607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        141 |     12,773 |        785 |      1,264 |     14,822 |
| d:\Aldhaf\hr_odoo\lib\module\about_app\view\about_app_view.dart                                         | Dart       |         50 |          1 |          3 |         54 |
| d:\Aldhaf\hr_odoo\lib\module\attendance_history_list\controller\attendance_history_list_controller.dart | Dart       |         18 |          1 |          5 |         24 |
| d:\Aldhaf\hr_odoo\lib\module\attendance_history_list\view\attendance_history_list_view.dart             | Dart       |        142 |          6 |          9 |        157 |
| d:\Aldhaf\hr_odoo\lib\module\catatan.MD                                                                 | Markdown   |          0 |          0 |          1 |          1 |
| d:\Aldhaf\hr_odoo\lib\module\checkin_detail\controller\checkin_detail_controller.dart                   | Dart       |        110 |         10 |         18 |        138 |
| d:\Aldhaf\hr_odoo\lib\module\checkin_detail\view\checkin_detail_view.dart                               | Dart       |        112 |          3 |          9 |        124 |
| d:\Aldhaf\hr_odoo\lib\module\checkin_detail\widget\check_in_button.dart                                 | Dart       |         24 |          0 |          4 |         28 |
| d:\Aldhaf\hr_odoo\lib\module\checkin_detail\widget\check_out_button.dart                                | Dart       |         28 |          2 |          6 |         36 |
| d:\Aldhaf\hr_odoo\lib\module\checkin_detail\widget\time_widget.dart                                     | Dart       |         36 |          0 |          6 |         42 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\controller\dashboard_controller.dart                             | Dart       |        441 |         71 |         59 |        571 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\model\daily_work_hour_model.dart                                 | Dart       |         11 |          0 |          2 |         13 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\view\dashboard_view.dart                                         | Dart       |        506 |         25 |         29 |        560 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\clock_widget.dart                                         | Dart       |         29 |          3 |          6 |         38 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\dashboard_skeleton.dart                                   | Dart       |         68 |          4 |          5 |         77 |
